Rank,Feature,Mean |SHAP|,Normalized (%)
1,hdd_sqft,0.0013621708,36.849754
2,TYPEHUQ_enc,0.000525309,14.210779
3,HDD65,0.00036392536,9.844992
4,A_heated,0.00035000587,9.468438
5,building_age,0.00027273613,7.37812
6,REGIONC_enc,0.00019411289,5.251186
7,age_sq,0.00010842057,2.933018
8,DRAFTY_enc,0.000103614875,2.803013
9,age_hdd,0.000101331236,2.7412357
10,sqft_per_hdd,7.524058e-05,2.0354254
11,envelope_score,7.371275e-05,1.994094
12,log_sqft,5.5257282e-05,1.4948326
13,log_hdd,4.5691755e-05,1.2360638
14,ADQINSUL_enc,4.01509e-05,1.0861713
15,hdd_sq,1.01757405e-05,0.27527648
16,cold_climate,7.722522e-06,0.20891143
17,sqft_sq,6.9749026e-06,0.18868665
18,mild_climate,0.0,0.0
